"contrast","ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CFR - MK","FUN_014727-T1",-24.6145066274277,15.3840666421423,-7.00034141093448,1.33708438795353e-05,0.100187733189358,-0.680415229189492
"CFR - MK","FUN_008299-T1",-3.11386134472377,26.9465791617572,-6.4608526174417,2.92425860732569e-05,0.109557348723457,-0.885320776332606
"CFR - MK","FUN_002792-T1",-22.5813518841076,14.1133449275672,-5.9531562079959,6.32992288830333e-05,0.158100374006856,-1.10654554769668
"CFR - MK","FUN_021324-T1",-21.5869532375598,13.4918457734749,-5.55026489907851,0.000119844051871932,0.168128888041117,-1.30424438853815
"CFR - MK","FUN_018965-T1",21.5461644646884,8.07981167425814,5.4739295284348,0.000135598982382764,0.168128888041117,-1.34408431858761
"CFR - MK","FUN_024764-T1",-21.2285910538201,13.2678694086376,-5.38198336319585,0.000157520875351954,0.168128888041117,-1.3931206993424
"CFR - MK","FUN_018984-T1",-21.5933057017204,13.4958160635752,-5.35923036979801,0.000163501895163208,0.168128888041117,-1.40543444951463
"CFR - MK","FUN_029117-T1",20.4889935783128,7.6833725918673,5.30241186906891,0.000179505018594546,0.168128888041117,-1.43649811816726
"CFR - MK","FUN_011287-T1",-19.4125180371706,15.3708855060274,-4.87210089839248,0.000369430023234235,0.2817693453985,-1.68675684177988
"CFR - MK","tr|A0A1Q9DDT8|A0A1Q9DDT8_SYMMI",-19.1832036232615,14.9901773225157,-4.86170956129727,0.000376043434403443,0.2817693453985,-1.69313668717891
"CFR - MK","FUN_004021-T1",-5.14727745246894,21.4562578994335,-4.68461501318537,0.000509951927251229,0.337675488987003,-1.80437333541766
"CFR - MK","FUN_011082-T1",-19.0285755840683,11.8928597400427,-4.65075887413957,0.00054078551552703,0.337675488987003,-1.82618281595666
"CFR - MK","FUN_020027-T1",-18.468257707183,11.5426610669894,-4.56704162474131,0.000625671917296507,0.360627667407902,-1.88086807385026
"CFR - MK","FUN_006223-T1",-19.6037171092678,12.2523231932924,-4.40519352758827,0.000831495217263018,0.41578454678413,-1.98966212334125
"CFR - MK","FUN_025282-T1",18.7501819446373,7.03131822923898,4.39679221452549,0.000843936343460734,0.41578454678413,-1.99542052235308
"CFR - MK","FUN_022405-T1",-17.8147369030902,14.1195917434816,-4.32773500107258,0.000953822571829561,0.41578454678413,-2.04316974900429
"CFR - MK","FUN_015253-T1",-18.9933678470288,11.870854904393,-4.18995972944865,0.00121969940149936,0.41578454678413,-2.14065168082913
"CFR - MK","FUN_007539-T1",-17.264185662769,13.6844190966076,-4.17737865149255,0.0012475303460072,0.41578454678413,-2.14970040185265
