"contrast","ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CFR - TR","XP_020628749.1",16.3190073408005,4.66257352594299,4.63474469746004,0.000155379518023701,0.49934290995715,-0.823057683292863
"CFR - TR","XP_020628701.1",-17.0335047799611,17.5158360504106,-4.63169013372256,0.000156493124261616,0.49934290995715,-0.826439220415037
"CFR - TR","XP_020621404.1",19.0540544401818,16.5867051968602,4.468637659485,0.000229258371509282,0.49934290995715,-1.00877258382325
"CFR - TR","XP_020619443.1",21.45124296481,11.9572878016726,4.43403082423189,0.000248646027669362,0.49934290995715,-1.0479213355795
"CFR - TR","tr|A0A1Q9D9Z5|A0A1Q9D9Z5_SYMMI",17.6567982113402,5.75612083151661,4.41644265368083,0.00025912332860861,0.49934290995715,-1.06787637316124
"CFR - TR","XP_020606684.1",-19.1718678185168,9.73786560432278,-4.23380528897273,0.000397967972871947,0.49934290995715,-1.27733482044941
"CFR - TR","tr|A0A1Q9EPK1|A0A1Q9EPK1_SYMMI",14.8084174519245,4.23097641483559,4.20006589440928,0.000430824418069218,0.49934290995715,-1.31645785556838
"CFR - TR","XP_020630924.1",-16.8605573714437,7.3993593830888,-4.15275500231854,0.000481523804257219,0.49934290995715,-1.37153107640591
"CFR - TR","XP_020613872.1",-16.8282634790003,7.43807054473091,-4.14887464773804,0.000485938042163049,0.49934290995715,-1.37605890824361
"CFR - TR","XP_020613135.1",22.2810512774441,11.0632684527253,4.12206629233579,0.000517561059242486,0.49934290995715,-1.40738450142584
"CFR - TR","XP_020610523.1",-21.4195749119193,12.1588348664191,-4.067440924427,0.00058850770884096,0.516174761354325,-1.4714469572456
"CFR - TR","XP_020614246.1",22.1654331170275,11.670046259071,3.88020589325016,0.000913824860310089,0.679406314152914,-1.69321968033724
"CFR - TR","XP_020618912.1",-18.436163631726,14.3993947081314,-3.87265499252323,0.000930171336899144,0.679406314152914,-1.70222888260217
"CFR - TR","XP_020619088.1",18.718949262677,8.61423674995064,3.79626503666319,0.0011127889702852,0.679406314152914,-1.79362819633465
"CFR - TR","XP_020618785.1",-15.5672262074045,16.1186792931367,-3.77985231689785,0.00115644818354854,0.679406314152914,-1.81332387543285
"CFR - TR","tr|A0A1Q9ECD6|A0A1Q9ECD6_SYMMI",18.0696075832401,14.9599256440649,3.77498173154584,0.00116972828753238,0.679406314152914,-1.81917247285003
"CFR - TR","XP_020627777.1",-18.4968355029375,13.1344212867637,-3.76510302946042,0.00119712969948171,0.679406314152914,-1.83104003203798
