"","Acerv20","Acerv50","Acerv53","Acerv56","Acerv51","Acerv34","Acerv31","Acerv49","Acerv52"
"FUN_000003-T1",24.8328583219428,25.4373506749919,24.7129894782977,26.2604913406454,23.1518970592568,21.120497984374,21.4247202159804,25.6074785836832,24.158099525468
"FUN_008436-T1",0,19.3369171993329,19.0191897566563,19.5028871198746,18.2572618637864,18.4788446525789,17.5334403679383,19.2266551726493,18.2256263919353
"tr|A0A1Q9DCQ8|A0A1Q9DCQ8_SYMMI",0,9.60824386870878,0,9.89538821394323,9.49520019714401,18.2240723521596,0,9.94152670869329,19.609425857587
"tr|A0A1Q9EXL5|A0A1Q9EXL5_SYMMI",0,8.69762062119419,7.63465467135342,0,18.2821117055131,0,0,0,0
"FUN_019918-T1",20.4205441200024,24.034705208888,23.8522135850183,24.7950740763848,23.7473128541532,23.1848228417371,22.7570353936144,25.1544642185976,24.4713850373992
"FUN_001858-T1",0,18.8139640976435,8.50383668658072,20.628862547218,19.8541672624369,17.1697782354485,7.66767772968238,19.9723414397089,18.0083793787568
"FUN_021871-T1",26.2527103214378,25.2276638672537,23.7255864702415,25.5429419770035,23.8401031488455,22.5479735554518,22.2339907896433,25.2067759432905,23.95198196077
"tr|A0A1Q9EHT8|A0A1Q9EHT8_SYMMI",0,18.5735505836703,9.62916914730016,19.9716396071689,19.4230592595938,0,0,9.29435914750553,0
"tr|A0A1Q9CZQ5|A0A1Q9CZQ5_SYMMI",21.9951600261265,0,0,0,0,0,0,0,0
"FUN_020392-T1",0,22.392912770235,20.7242379437111,22.4179930067232,20.2125722647045,0,7.70028964410632,19.2755333390864,19.02837284931
"FUN_013054-T1",22.0454056350644,25.1846194301499,24.0978349148038,24.3331696072291,24.377207698053,21.4544740125097,17.2534276104212,22.6314223157565,23.2629156469255
"FUN_025351-T1",9.96173411082306,19.4349076309702,17.9705613122914,9.48505996861126,8.80348812178847,0,0,0,0
"tr|A0A1Q9CKW4|A0A1Q9CKW4_SYMMI",0,19.1490207156877,8.39871044387885,18.7446761686746,0,0,0,0,0
"FUN_020723-T1",0,20.3912497772048,18.679146924411,9.95731008499245,9.15896021425298,0,0,19.7238089426854,19.0611575700466
"FUN_006086-T1",0,24.4284333405174,22.6017350144215,23.5489921957025,24.3762870296914,22.8049429878345,23.2890909734825,24.4061809683217,24.6772910753432
"FUN_015631-T1",0,23.9685845736608,23.2268607978078,24.477475894084,23.183539613961,21.3703676062564,20.7981325240901,22.6172050460921,22.9404894277946
"tr|A0A1Q9C5V1|A0A1Q9C5V1_SYMMI",0,18.3457633728364,8.59869954608994,19.3177946325627,18.6017995545318,0,8.19886238139449,9.07889303231306,0
"tr|Q8GTH1|Q8GTH1_SYMPU",22.5474832399809,0,0,0,0,0,0,0,0
"FUN_000016-T1",21.8795204528406,23.2825603212914,21.9842848440279,23.6177399946079,22.3400926303079,20.1362965137768,16.9017947025142,22.8099190050048,22.0732089861445
"FUN_008437-T1",0,8.29802934570601,8.07635038076525,17.0977591707353,0,0,0,17.6741357357078,0
"tr|A0A1Q9DCV9|A0A1Q9DCV9_SYMMI",19.5655593298159,22.0518916510775,21.1486841657355,22.6427415421276,19.7050044067826,18.5491341235266,0,21.0472267881029,17.2730397489333
"tr|A0A1Q9EXN4|A0A1Q9EXN4_SYMMI",9.63959557126831,17.922278729031,8.98193628739892,9.04290996860298,0,0,0,19.3973853185622,0
"FUN_019919-T1",9.8594261215092,22.9422327575135,22.9426997132194,23.5513530757388,22.5866839574334,21.6487354288793,22.3013599935702,23.875652040479,23.2852589810723
"FUN_001875-T1",0,25.1122904525514,24.2853450265161,24.2879562231599,23.6924177300641,21.7028545549541,21.6593245007715,25.1064148792859,24.4599111516421
"FUN_021877-T1",9.26502596488651,21.6021332028739,0,18.159590758195,0,0,0,0,0
"tr|A0A1Q9EI05|A0A1Q9EI05_SYMMI",10.3831402970205,0,0,18.833000429748,8.95807093976313,0,7.62917259815957,18.8579289734366,16.2771602432213
"tr|A0A1Q9CZS3|A0A1Q9CZS3_SYMMI",0,19.912588533777,20.4306298292732,20.5862471784348,20.3584029309175,19.8163790206583,19.8838061557204,21.6977227155993,21.3288792335995
"FUN_020396-T1",0,0,9.08939806498545,18.2083991127928,17.9796144703649,0,0,0,0
"FUN_013058-T1",0,18.9845298993762,17.5854175755341,8.97416365160285,7.83774423890145,0,0,0,17.8485557037188
"FUN_025357-T1",0,19.9521952721445,0,20.2983450641169,0,0,0,0,0
"tr|A0A1Q9CL15|A0A1Q9CL15_SYMMI",0,19.5011186538508,0,8.74455942075748,0,0,0,0,0
"FUN_020728-T1",0,21.4431017715139,19.6646508445249,21.5408600937085,18.8758095821828,0,0,19.6798244750493,19.5873618408748
"FUN_006091-T1",0,0,21.2409690542252,22.2689094618043,0,0,19.9949314973128,20.8535805977202,21.1136766795299
"FUN_015635-T1",0,22.5426796390559,22.2795726654545,22.867764112594,22.8528184497406,19.9812007309564,21.5794079621691,23.9518394403355,23.2247184532423
"tr|A0A1Q9C5Z0|A0A1Q9C5Z0_SYMMI",0,0,10.9150628017826,21.6917654370045,10.877088385624,0,20.3041217328127,22.1952670556383,21.4187981537333
"tr|Q8GTH9|Q8GTH9_9DINO",26.407961389746,0,0,0,0,0,0,0,0
"FUN_000019-T1",0,0,9.19751390570683,18.4647701408107,18.4225354793422,0,0,10.0336180397525,18.8637537405727
"FUN_008443-T1",0,21.2123027797466,8.94935678110893,9.96812558173142,0,0,0,8.63332465270688,0
"tr|A0A1Q9DCX4|A0A1Q9DCX4_SYMMI",19.935372880238,0,0,0,0,0,0,0,0
"tr|A0A1Q9EXN9|A0A1Q9EXN9_SYMMI",0,0,8.51777007377675,7.83691676818215,8.16873255454539,0,7.51326172125988,18.0499506869683,18.7043190830778
"FUN_019921-T1",18.9117020555275,9.54713551169287,0,0,8.85574946985163,0,0,8.22808895902098,0
"FUN_001881-T1",0,22.4846457265763,21.7688558929318,22.9963109027406,23.3917484171702,20.7126353073171,20.910655314183,23.571747675575,23.502344536068
"FUN_021884-T1",0,18.719616099695,8.14946981748635,19.6391450930084,18.2595426913315,0,16.6634869270109,9.21006441123167,18.0579652894612
"tr|A0A1Q9EI18|A0A1Q9EI18_SYMMI",0,23.1764515914639,22.2676738769162,22.9567606336952,22.116389414446,21.6052158938058,20.2501899495743,23.1909113268102,22.9963119375546
"tr|A0A1Q9CZU2|A0A1Q9CZU2_SYMMI",0,23.1135482779254,23.3082791346879,22.5028207297466,23.6736902319974,23.4635988315551,23.836743218077,24.6940642822879,24.5180932037497
"FUN_020397-T1",0,21.2266272273023,21.6238428307688,22.0712774427889,23.3482196702372,23.0059714172435,22.6667438186217,24.2168654103123,23.9031581968159
"FUN_013068-T1",22.5497809229924,20.243047051533,21.5112252765617,21.0613911297763,22.0855829947322,22.3496330013903,9.50577879746996,23.1956364134539,23.4961066084222
"FUN_025359-T1",21.1309213415578,22.8364679450485,21.7392213173393,22.8002061739861,21.4581466188222,19.4088749444816,0,21.6224369501013,21.1866468557769
"tr|A0A1Q9CL25|A0A1Q9CL25_SYMMI",0,18.4832428809157,17.9208971494085,20.1727121488394,18.3066573533722,0,0,19.3840537373305,18.2575121504438
"FUN_020730-T1",0,19.8360167720717,20.4551776606718,0,20.1949867975853,16.9566370639684,9.05417799683755,21.02960112621,19.26084604488
"FUN_006095-T1",0,23.5531724092365,20.7751001562899,24.0556863895389,24.1406961909225,21.6777140508291,22.0566024100829,24.8452362714364,24.313767181297
"FUN_015636-T1",0,21.2962247466473,21.7471727729627,22.6361261022975,21.8645490170304,20.0235201973486,20.4448148495662,23.2352628761871,21.9085014714844
"tr|A0A1Q9C601|A0A1Q9C601_SYMMI",0,0,9.13942661790379,0,0,0,0,18.751172071209,0
"tr|Q8GTI5|Q8GTI5_9DINO",20.0566447442507,0,0,0,0,0,0,0,0
"FUN_000022-T1",23.7526491452956,24.9833194228898,24.2426289041391,25.7822820033622,24.5592379260567,23.0983885978574,23.3676594434752,25.3164053146971,24.6316359131155
"FUN_008444-T1",0,19.3232312526843,9.08241173566425,17.8339570490222,7.82024957407381,0,0,0,0
"tr|A0A1Q9DCZ5|A0A1Q9DCZ5_SYMMI",21.9741831233308,0,0,0,0,0,0,0,0
"tr|A0A1Q9EXP7|A0A1Q9EXP7_SYMMI",0,19.6167831745199,21.1193127323214,21.1523431520204,21.0304044038464,21.4615698726861,21.9155917963371,22.5975975097494,21.6805368033629
"FUN_019924-T1",0,0,0,18.5611161290141,0,0,0,7.85886498313855,0
"FUN_001882-T1",0,24.2427457156992,23.6357291636406,24.5113605376175,24.3952041443549,23.2534751678953,22.2830150801983,24.7734897877485,24.3192344661122
"FUN_021887-T1",0,24.2272485137233,24.1060226165267,24.3658769492676,23.9257513442356,22.8354361506815,22.8970043949701,24.5004434687826,24.3206191260332
"tr|A0A1Q9EI31|A0A1Q9EI31_SYMMI",0,21.1348998544197,18.845311995655,21.4780806690449,18.864179785982,0,8.53117593413755,19.7425863301829,18.8223063009914
"tr|A0A1Q9CZY2|A0A1Q9CZY2_SYMMI",0,18.2321833090707,20.1869745407075,19.27643653421,10.034280906707,20.1281265156319,20.5599085779377,21.7716764046831,21.3837744184978
"FUN_020398-T1",0,0,10.9184214130512,0,0,0,9.85029013040466,0,0
"FUN_013079-T1",0,21.100441576301,22.3442471159576,22.6823511613455,22.8512170218085,21.1384561806493,20.8698172851928,23.6180422145015,22.9766890994588
"FUN_025366-T1",0,9.27089051859538,7.73185796827918,19.6220000313352,21.3029679971228,0,19.419370092803,18.1801606154348,21.037180276357
"tr|A0A1Q9CL40|A0A1Q9CL40_SYMMI",10.2733516343648,22.5033973301623,20.4653682949182,21.244570677555,19.3187778336206,18.3451669841444,0,20.5969523167554,19.446031227481
"FUN_020748-T1",0,20.7852493937804,20.5065077489332,21.5024393843409,20.4295264197358,18.4261214020406,8.87012425668265,22.3216731151889,0
"FUN_006096-T1",0,8.94458857152035,17.8134232934801,18.0650265249662,0,0,0,0,0
"FUN_015638-T1",23.572265299761,23.5386022019608,22.4199503558985,23.4075747294386,23.5745483203529,21.9816177973074,21.9064613911453,23.7547743348892,23.8216359088317
"tr|A0A1Q9C6A2|A0A1Q9C6A2_SYMMI",0,17.9656469133155,0,19.1477059845248,18.8125461806693,16.2753606800807,17.9537710752675,18.3783318760113,19.3207630957108
"tr|Q8H0D0|Q8H0D0_9DINO",0,19.7206706639719,0,20.4475255727187,9.34339216370618,0,0,0,18.7144501264763
"FUN_000023-T1",11.5383540665962,10.0599537274038,18.554267889555,19.1492976178467,19.1901475734872,0,0,0,18.9935272087834
"FUN_008446-T1",0,27.5240049887125,26.4515482844893,27.183355767055,25.9701483596406,25.5207281308933,26.2374380954899,27.8840351307957,27.2379047048085
"tr|A0A1Q9DD72|A0A1Q9DD72_SYMMI",0,8.32985164451006,0,0,0,0,0,19.5121218369675,19.420908033626
"tr|A0A1Q9EXQ4|A0A1Q9EXQ4_SYMMI",0,18.0275169938683,19.3510781126456,8.78087890337054,16.7716348103084,19.5398687583108,9.27648273815261,21.9732839179388,21.7970919243738
"FUN_019940-T1",22.8025540875301,22.3142635246357,21.1085023768382,22.7289313024525,22.6540639037329,17.0047581282363,8.08177570357516,22.4594997267741,20.9135826493312
"FUN_001883-T1",0,21.8573093601533,22.655018349264,23.0314852614254,22.2793892145338,20.8215100843797,21.0517255915315,22.8197317795463,22.6617087391112
"FUN_021896-T1",0,8.92984928264557,8.07628106755587,9.1528861582901,0,0,0,9.15725843216564,0
"tr|A0A1Q9EI33|A0A1Q9EI33_SYMMI",0,0,0,15.7776503558215,7.54146952329185,0,16.7234229367307,19.0813564389249,19.1584494390315
"tr|A0A1Q9D014|A0A1Q9D014_SYMMI",23.9141034146539,24.8029605643173,24.2345150784127,25.2152101123121,24.3462603833401,23.6134968917704,22.9429499277542,24.9645981315354,24.4654944768068
"FUN_020399-T1",0,19.5316390013833,20.7576630151214,21.9299011436786,19.807957160779,16.3366983206231,9.21944261682867,20.594540433473,19.8769230670451
"FUN_013087-T1",23.5929848747472,23.9270197675543,24.2284350572577,24.8783888890378,23.8925009306333,22.3961769841505,22.2330171358497,24.4410689204977,24.1541259379513
"FUN_025370-T1",21.4552841817356,22.2774484666498,21.5986896975694,22.7988959732526,21.4857320566933,20.4828050030929,19.2100848399774,22.4843635002675,22.1347831969974
"tr|A0A1Q9CL76|A0A1Q9CL76_SYMMI",0,20.9638298120995,19.8016787639285,9.23271743830104,9.20977644075565,0,15.9142651902116,18.3741087719498,18.2866795813186
"FUN_020750-T1",0,21.1330395767183,19.2492008576696,20.4265190769097,8.37252856974444,0,0,19.2042376105309,19.0511531688294
"FUN_006097-T1",0,22.179957962829,21.3479735412231,21.8069841719374,21.0126284072431,0,16.3845370580824,10.6811118514834,20.0488659850214
"FUN_015640-T1",0,20.3732319589012,7.88243579536805,21.1306662349707,18.6985909928955,17.3386580487909,0,20.8577164719654,20.4547902601317
"tr|A0A1Q9C6C4|A0A1Q9C6C4_SYMMI",0,24.0265765699759,9.61133967906882,21.0695543559223,0,0,0,20.526570742631,21.3961746318309
"tr|Q8H1I0|Q8H1I0_SYMKA",29.7314180627553,0,0,0,0,0,0,0,0
"FUN_000033-T1",0,19.8116218907379,19.4070093637091,20.8722945708849,20.6272977076418,19.8118560007896,19.7377476396307,21.3878438724972,21.1134922840413
"FUN_008447-T1",19.5629715599064,22.9293779533586,23.3046805540197,23.6414347516142,23.2346429476044,21.8004176879592,20.7875431965898,24.5179804718003,23.0784072118764
"tr|A0A1Q9DD82|A0A1Q9DD82_SYMMI",20.320037322126,23.4136745621406,20.4080493513161,23.361122684164,22.3223181253386,23.0721723572535,20.3716570868627,24.3154778598012,23.4638981225691
"tr|A0A1Q9EXX4|A0A1Q9EXX4_SYMMI",0,0,0,0,0,0,0,9.14687277045376,0
"FUN_019946-T1",23.8334541291441,19.123805656427,18.6252561007547,20.340892348013,19.5890961685483,0,17.1709421555956,18.3083755799688,0
"FUN_001891-T1",23.6757364961458,24.1366642118835,24.164171634614,25.0443310153562,24.8772932686975,22.9194207513032,22.6197665884996,23.7454962969413,23.5371696908964
"FUN_021899-T1",0,18.3784587671019,0,18.6486014724936,9.02258386480174,0,0,9.48927563520476,0
"tr|A0A1Q9EI43|A0A1Q9EI43_SYMMI",0,0,0,18.3768982672542,0,0,0,18.9398591659106,0
"tr|A0A1Q9D021|A0A1Q9D021_SYMMI",0,0,0,0,0,0,9.84584876054267,0,0
