"","Ofav1.1","Ofav5","Ofav1.2","Ofav26.2","Ofav26.1","Ofav10","Ofav55","Ofav2","Ofav59","Ofav4","Ofav43.2","Ofav60.2","Ofav43.1","Ofav60.1","Ofav24","Ofav8","Ofav21","Ofav7","Ofav23"
"tr|A0A060BFZ1|A0A060BFZ1_9DINO",0,0,0,0,0,0,0,0,20.2655658320621,0,0,0,0,0,0,0,21.0129770572306,0,0
"tr|A0A1Q9D220|A0A1Q9D220_SYMMI",20.6417421994465,19.1144159323348,20.1041853711433,0,0,19.8393068358202,0,20.2218761844812,0,20.4794141845509,0,18.0700213363661,0,0,0,0,19.0762963045417,0,0
"XP_020600548.1",18.9723936843185,21.8385364913146,20.6034968596715,0,0,0,0,19.7935572718413,18.9748038704438,20.3281675968384,19.4321891270663,0,19.5004781885696,20.1672968543804,18.3799663390747,21.75515531162,0,21.1342690032139,21.2668808823787
"XP_020602476.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0355697635425,23.904536963079,23.9259673570132,0
"XP_020606497.1",20.1628793143722,0,20.1504129601672,0,0,18.4661919960401,0,0,0,16.9773581925921,0,0,0,18.8256637858319,0,0,0,18.4602438985074,20.3039646490423
"XP_020608612.1",24.0565757858189,22.2547861456758,23.8527764616786,21.2828582323753,21.7164414497395,20.799249205806,0,21.2285433452222,24.9302677992755,20.6482004458165,16.713185112166,22.263199557053,19.7866509167472,22.8766789963496,20.0501422581312,23.3526155695343,21.3768614456185,22.3896121724584,24.3347054477443
"XP_020612562.1",22.0791979658234,18.535495616275,22.3132448219675,15.5726114170171,16.658588065387,21.5598620415722,0,19.6134063991482,0,19.5465610362118,17.5432206660552,0,19.248434899755,18.1375165318336,17.8561154501029,21.9153998271797,17.409075975223,22.7115617446493,23.1578087267299
"XP_020614657.1",24.8411415732415,23.558164349667,24.9599790782246,23.8844976370642,23.7434136861538,24.7078689927534,21.585064769446,23.8707040117427,23.9738330112228,24.3197337168737,24.1636552802103,23.2734235574968,23.8540928904542,23.2812736725511,22.7804170157193,24.5832035942696,23.9759855093146,24.8887138504504,24.5033576721713
"XP_020618806.1",20.1734551135913,17.702328279775,20.0948238262751,0,16.5614371241494,17.9263133704036,0,0,0,0,16.6001887823493,16.2514639182047,0,0,0,20.3799420212426,0,20.0500997338794,20.8726906596613
"XP_020621058.1",23.6008211352307,21.0605554324121,23.9970668659375,22.6433720255347,22.0261090258469,22.2903195533564,19.572154331818,22.7948729269265,22.0241992125794,23.2896526543436,23.0520036248453,21.7163577128427,22.4924060254138,21.607502349644,20.4524795540832,22.8704811809458,22.1791349082139,23.3142968206371,23.2799017073742
"XP_020625313.1",23.7795655760663,23.2996455719837,23.8273152745863,23.0182726929697,23.2252864416273,23.7678826640724,19.3448398505161,22.3176789628073,23.8089232390164,23.3269962477441,22.1123787339482,22.7136271124306,22.1712326997307,23.1408645556347,23.1693618585672,24.0877508530902,23.2589511247908,23.4261980718877,23.810713712227
"XP_020627405.1",24.3419300956902,22.8647259009037,24.6284749657101,19.9200693064318,21.7069735761055,24.1040961680294,19.2195868693508,22.8265281219769,24.7767926882466,23.4479532965348,22.920496971453,23.6341309271603,23.0141095445986,23.4595585675177,22.7460658776625,24.1376945212923,24.3141688036624,23.7990421431184,23.9742322534236
"XP_020631561.1",0,0,0,21.6957665063298,22.1015900678075,0,0,0,0,19.828996436252,0,0,0,19.8856770122535,0,0,0,19.3980985929179,0
"XP_020613295.1",19.0049528440943,0,19.6065010026407,0,0,0,0,0,0,0,0,0,0,0,0,18.2587546392163,0,0,18.3818682035869
"XP_020615284.1",21.2904717111154,0,0,0,0,20.9472809284317,0,18.7945903794506,19.7474243128298,0,0,0,20.8946734640929,0,20.3476527247695,22.0046350460309,20.8664254652634,21.8274531929406,21.8445636434435
"XP_020619518.1",0,0,15.0197210236879,17.1617322247443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XP_020621759.1",25.9756639105782,24.5042194458927,26.1544592977642,17.5414823515662,0,23.7608134300426,20.2683101186578,21.3359600106189,24.5576216312293,25.1685788960411,0,24.4240916258879,0,24.5395788462448,17.5923694357354,21.2919221696039,22.5619929131473,0,25.6760332718036
"XP_020626048.1",20.3878501023615,0,21.1271687746618,19.9118439881611,21.9024593946652,17.7611811100084,0,0,0,0,18.7287675286623,0,0,0,0,20.9923775779353,0,20.8734268393399,19.9489218365584
