"","Ofav1.1","Ofav5","Ofav1.2","Ofav26.2","Ofav26.1","Ofav10","Ofav55","Ofav2","Ofav59","Ofav4","Ofav43.2","Ofav60.2","Ofav43.1","Ofav60.1","Ofav24","Ofav8","Ofav21","Ofav7","Ofav23"
"XP_020628105.1",0,0,16.9850525249087,17.1133046851357,0,0,16.201645346574,0,18.1151300352828,15.5462313042608,17.0698168560639,15.1579784499454,16.7917097999626,16.8373938704201,18.1351130493391,0,0,0,0
"tr|A0A060BJB1|A0A060BJB1_9DINO",20.930638452608,0,20.8616632204974,22.3436159622058,22.1041716110228,22.2552703768637,18.8778682406022,21.2908204040415,23.848207722772,22.634603025728,21.9586167862745,21.4651324158789,21.9046989275715,21.0139993505578,20.1949648057864,22.9610216318037,21.3401179482034,23.0998096044403,0
"tr|A0A1Q9D239|A0A1Q9D239_SYMMI",21.6121634342601,0,0,0,0,0,0,0,22.3361177846094,0,0,0,0,0,21.6842319664316,23.5491022703403,0,0,0
"XP_020600556.1",18.110804430324,0,18.2113892787526,0,0,0,0,0,17.7725658791598,0,17.9961810626643,0,16.8192934640545,0,0,19.8364279599696,0,19.8992256180088,19.0310415323677
"XP_020602478.1",25.9332919208589,24.7765567762049,25.2467725226495,24.4358593286329,24.4342874828101,24.9211118471407,20.5642471964505,21.7334312212758,24.827504218421,22.8832199561977,16.2697293811406,21.3221267555671,18.7661697688649,20.2359639572604,24.5190326371211,25.4457539973193,25.1030508806678,25.5555524815643,24.529052129655
"XP_020606503.1",20.967756075651,19.651218153936,20.0686798890247,19.7206400605441,20.0364432875923,20.1839854394838,0,0,21.0413309544418,19.5738930737423,0,0,18.0053668707431,0,0,19.4422085038854,19.2757857794084,0,21.1062312879535
"XP_020608616.1",25.1238259103238,24.8718152532364,25.31697202938,32.0802307200403,32.1345690113315,25.3290478124135,28.7233321875947,26.0953772424512,30.9833892688192,27.0952293239879,31.4178002478081,29.7601250737417,31.048951936905,29.4887726409553,29.239169909286,24.9019575513526,29.8924655941002,24.68231981873,30.2126858241477
"XP_020612570.1",25.7383893634923,24.5045108527221,26.0955575293276,23.1839904353718,23.5158974675855,24.8766471966857,21.6499486092304,23.7504458124704,25.0062581413536,24.6745912632383,24.0634445394365,24.490296065669,23.7143818918246,24.3221097659208,24.4797752692974,25.8768440951195,23.3115042895508,25.6156261012898,25.7263964157482
"XP_020614660.1",20.7712065369886,19.9315267305613,20.9634584602392,0,18.3400021888873,17.1391216293944,0,16.4953241593243,20.9527647046658,0,0,19.3475240518793,0,19.7964753613687,0,21.4105408919158,20.5733929377185,20.6062109022407,15.6975106073779
"XP_020618807.1",0,0,0,21.3389762533294,0,0,19.3891544565973,21.1494202863824,20.9424923124154,0,21.5621142960065,0,21.1352088897252,0,0,0,0,21.6831612574627,0
"XP_020621059.1",21.9258698645447,18.5490137594554,21.9405146983284,17.5880631093356,16.2021620951565,20.8760305005553,0,18.1077432346946,20.0005296093437,19.6958688591181,17.6511007558826,18.8938318011271,17.4953397758647,18.8809794906027,17.9089085809662,21.0731458841131,0,20.93228324767,19.9900249978155
"XP_020625315.1",21.7277513954472,20.5983442455526,22.2042132080349,19.9097070759393,20.3794132713802,21.0440692127595,19.5281812750716,21.1685882682512,22.7747607232413,21.9654676037063,21.4820265097886,0,21.2707635468488,19.0419612142293,22.1149283560777,21.3021017084793,21.9504167107446,22.0658325592512,20.4156561601897
"XP_020627407.1",23.4495661853968,21.905356520547,23.6694598242107,22.4537174979029,22.2882423035746,0,0,18.6500034107205,20.9657427220481,19.5567099819909,21.8749157033679,0,22.316778974655,0,0,0,23.1462561957785,16.3461327870072,20.4107070186527
"XP_020631564.1",0,0,0,19.498901783059,18.7405746380838,18.2692499795874,0,0,20.0365774355025,19.1239672860547,0,0,17.5754136791584,17.5568278350957,19.3162395409302,18.8569026761516,0,17.5337479631934,0
"XP_020613301.1",18.6906084714204,0,19.1349100722078,0,0,15.9392348436347,0,0,17.2369764900212,0,0,0,0,0,0,18.5214509179807,18.3294854092608,18.8257569378536,19.4247670405622
"XP_020615288.1",22.5559036927451,23.9118928915176,25.1192611476571,23.2050771485572,23.3946025554687,23.8423205117966,0,22.6370447017595,22.9688806756988,21.5469853374404,22.8448315929909,20.2303453452277,23.1336745222409,22.0717585770563,18.9342523696469,25.2026281838414,22.8181189117391,20.8911985278202,25.0967449481726
"XP_020619519.1",18.1849092331395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6232956762196
"XP_020621768.1",18.1824864976413,0,19.0181648544379,0,0,0,0,0,16.7014553811254,16.1660846049329,17.5455603025861,0,17.4254699919813,0,0,17.7320547769769,0,15.4073009628466,17.9689985874967
"XP_020626057.1",21.5069297958941,16.7727656033834,22.7141220255617,16.2216248797489,19.1811376947055,0,0,0,22.568193421859,19.8954880104176,0,17.5429185009087,17.6436518874376,19.3224365235897,19.9140215510219,23.0032250229839,17.9923132600381,22.6088447439689,17.4074088530268
"XP_020628108.1",20.1191855791631,19.4017482629913,21.4751144389163,20.6222994252882,20.9180166409801,20.0197115233845,18.1289357864143,20.7636087123877,21.3397374836249,21.8656324711191,20.5082367833034,20.5725605341281,19.909428751722,19.1975838677227,20.0540438357748,21.4139940472457,20.0819995673602,21.9188897991109,20.5317155553009
"tr|A0A060BJC5|A0A060BJC5_9DINO",21.3124592316529,13.5658161071009,21.4693471937333,23.512954889104,23.5435672518056,22.1756095471685,21.8241931277749,22.0010518063516,23.1948435545519,22.3380619743556,23.2708899859145,21.5999078493626,22.8709175922436,21.3439593626477,22.6142537723207,21.4629679971306,22.4880963274841,22.1824092059985,0
"tr|A0A1Q9D2C2|A0A1Q9D2C2_SYMMI",22.2559186462814,18.9787467628406,21.5292670650172,20.4880725394631,20.7128871523385,19.6419194388804,0,18.8619683240558,20.4297183169833,20.4441504592799,18.0512354982929,17.3474224029953,16.7454511175283,0,0,20.7694319058925,19.8559436622344,21.4121444320042,18.2601339284414
"XP_020600557.1",24.275331762525,23.0913593550622,24.4847447916219,21.5090583065077,21.063290398884,22.0478671122472,18.6796553400222,21.8588586224691,24.2566671790681,23.3987177317515,22.992169571797,22.2627007782454,22.6896800424929,22.3106075122098,22.0145098851776,24.3000576398132,23.7977843031017,23.7662798862429,23.3765007507452
"XP_020602480.1",0,0,0,0,0,0,0,0,21.3243810950365,0,0,0,0,0,0,0,0,0,0
"XP_020606518.1",22.9588626007612,20.6392267569659,22.718374211359,17.8381575139558,20.5419861114489,20.9171717333453,0,19.8333889068924,23.0249058001028,20.3047111572479,20.081219451764,19.9466964257244,20.1850992457622,21.4353248655172,21.335393080856,22.0116364147833,20.4789404128447,21.3949509057508,20.9779555533551
"XP_020608624.1",19.0740238333108,19.3384991922284,20.4183354498362,19.3705448089963,20.4094437682407,20.9942988761859,0,0,19.0628972782661,19.7817455034519,20.3649243961023,0,19.9869044594829,0,0,21.6856868565695,0,19.5342933822084,20.9198940598379
"XP_020612572.1",0,0,0,0,18.6273878235852,16.4625342242066,0,0,17.8650868222445,0,0,0,0,0,18.8930615120906,18.9194307536658,0,17.7128426629153,0
"XP_020614662.1",25.8294793776324,24.5776535009215,25.7604666969928,24.3937878618991,24.7210928766856,25.1380766515215,21.5408464934969,24.1302110709044,25.7692714513154,24.739564317834,24.5553904340245,24.3809929969566,24.1528518274988,24.1861196059809,24.9899293149666,25.9843333348945,25.8419155897034,25.6712215008425,25.3338326013879
"XP_020618815.1",19.0835468482011,0,19.2758539655037,0,0,0,0,15.1034107601364,0,0,0,0,0,0,0,20.4009555055614,0,19.2872411725067,20.2676816805574
"XP_020621067.1",22.5151167763552,22.5642395197535,22.8670662227365,21.3846388503279,21.3606761868648,22.8680615955814,20.0619736489928,21.5947314454922,22.7051221047245,22.1942726202857,21.8556688351217,21.113562229932,21.6940879042087,20.7134746198089,23.1298428445132,24.1699221732804,21.7543154381603,23.2199095591785,23.5118360021625
"XP_020625327.1",19.1006495076014,0,20.0941666242382,0,18.7125706600042,0,0,0,20.0880959222135,0,0,0,0,0,17.3234330521659,0,0,0,0
"XP_020627408.1",17.796717741265,16.3789382888011,19.1758492038564,0,16.736890745375,0,0,0,18.5956180809968,0,0,0,0,0,18.6823328402063,19.3596702147167,0,19.0026749445275,21.4069134253284
"XP_020631569.1",0,0,0,19.9354600355671,19.3945443362722,0,0,0,0,0,17.8590918836278,17.3185869400184,17.8028507977528,0,0,16.357448912017,0,16.3114467761224,0
"XP_020613320.1",26.3540327090529,25.5130460919798,26.4832754622582,24.9959628683446,25.0137180791546,24.7417740665126,22.2754513367685,24.2509351226481,24.8065711070779,25.2150100175348,24.6677367278977,25.0500263516809,24.3521621976252,24.7448295784171,25.2496453392477,25.8866330510455,24.9442968332562,25.7198385056812,25.7731052673624
"XP_020615290.1",24.5824405799499,23.797171796928,24.7209212417115,23.0053855471246,22.7996450625197,24.2885535889551,0,23.1747256403126,25.2018138410031,24.3743112678486,22.2313468845368,23.2263908771188,23.5587587632679,22.1832894794975,23.2022961862845,24.9788177532004,23.9846069870049,24.8712879209927,22.5226066725376
"XP_020619526.1",19.2537067053189,0,19.0162887029403,0,0,0,0,0,0,0,17.4379552133024,0,17.3527762462827,16.8778472767475,0,19.1807614546164,0,18.4793974077936,18.4567193746383
"XP_020621791.1",19.1409869979151,0,20.2941237407831,0,0,17.1681138432002,0,0,16.5680154736921,18.8347642157666,17.9522577960233,0,0,16.8604929324541,0,20.0639493105839,0,18.8458606005424,19.9257586951767
"XP_020626058.1",0,0,18.0393956804425,18.4908391278512,17.7330484325134,0,0,0,18.8703918132112,0,0,0,0,0,17.1623224812284,16.7268168514736,0,0,19.9045273162933
"XP_020628109.1",17.6149757819979,0,0,0,18.5384883002318,17.3635102505458,0,0,19.4467380290398,0,17.8973550699641,0,16.4437044152418,0,19.492735334474,0,18.7118988281574,0,0
"tr|A0A060BJD1|A0A060BJD1_9DINO",24.7111897587786,24.4935423371891,25.1123530001772,24.1310957344407,24.5339483027383,24.4153876349622,20.4077853680358,23.7850753533925,24.2944606844133,24.5127758411198,23.2986741378816,22.8145677981276,23.3571260287991,23.3403892396898,24.0124224156236,25.9634445470656,24.9819941249419,25.4908049515024,24.9768455664379
"tr|A0A1Q9D2E0|A0A1Q9D2E0_SYMMI",0,0,0,0,20.0387221073838,21.5038281637545,19.8857216912905,0,0,0,0,0,20.9107166491315,0,21.084531384896,21.5496197093719,20.5772711500472,0,20.6861149139262
"XP_020600561.1",25.2118057312305,24.0428395595725,25.2677212873812,22.4133766530987,22.332292561781,23.6439938793936,17.7572988483294,23.7933612986373,23.4825001309493,24.7232306026258,24.7978040394847,23.5700700529477,24.0860732808519,22.8318503575408,24.3288650618128,25.5684750605915,24.6812648495214,25.4276374988579,23.3742508308071
"XP_020602481.1",18.2218089382088,0,0,19.0711978456145,19.6636223797637,19.2332990151845,16.5353817034102,18.8659899574676,19.5833454164854,18.2745829015246,19.0895720316597,23.5626392000573,18.9959575650487,23.8655340241328,19.3323491135818,17.321760780463,20.2903822746725,19.23939574788,18.348671970731
"XP_020606525.1",17.6024161549113,0,17.661506732039,0,0,0,0,0,0,0,0,0,0,0,0,16.826138798272,0,16.0823985634278,18.0418035080226
"XP_020608625.1",20.7732446677368,19.2882780755886,21.0330848571496,16.5898851792902,17.8372028963617,19.8484441449911,0,15.6635303084994,20.8157061610234,17.694867953426,16.8925072421279,18.4959994202965,17.4572445938766,18.4041644738762,16.3785658100006,19.5772720721908,16.8813171361187,19.8767432492015,0
"XP_020612574.1",25.2323659191277,22.9916680205446,24.99419074154,21.1785913052549,22.289278487625,23.6548161697478,18.2361310098799,22.9031748417853,23.0559779363588,23.7156422969615,21.4643149065626,23.1691810802559,22.4167380070452,22.7934890067289,22.7447199155424,25.270944756106,23.2474029977459,25.1518974019352,25.0450640915637
"XP_020614664.1",22.1853282563802,20.3972515930509,22.9343432676503,0,0,21.6528235333359,0,19.8330939168684,20.095789756327,21.3337728326454,20.714883566498,20.3177405059029,18.481290962319,19.8078532908288,14.9329990134217,22.6570373000925,19.5686519954246,21.4016008909941,0
"XP_020618817.1",21.5373004091648,0,21.592041338981,0,0,0,0,0,0,20.2598317470331,20.5331709629266,19.7094254722355,0,0,20.2066960351035,21.9217614129418,0,21.5678804318824,22.1815299115523
"XP_020621073.1",19.1521486522175,18.341914016129,19.1528913511092,20.2923272503424,19.5255647762448,20.0371139024417,15.2942976569993,18.3985391286601,18.9502340750982,19.5887164652978,0,0,18.981954637574,18.5551770148928,18.9499492170251,0,19.0599174067727,20.0821295456242,19.0216388034393
"XP_020625330.1",23.0940559335576,21.6916153171498,23.7409316642279,20.143408625959,19.6253182267319,22.8386209300671,18.8242036183661,22.0959143142223,21.7514782716315,22.860213854711,22.4348587812836,22.0475376618931,21.7855446611655,21.7499614681373,20.5568025816694,23.3842708712488,22.2841875630776,23.3626380109324,23.1524759510363
"XP_020627413.1",21.6287200813277,21.2531451808872,22.0463123783476,20.4465754953412,0,24.1964668297009,18.3144726093392,22.9685994760361,23.3229817572967,24.0237947007572,19.7490461175104,21.2692174429953,20.2440025679102,20.8347696156302,17.8630912760059,22.5704086274954,21.1826398562496,18.6052009702375,22.183890665726
"XP_020631576.1",27.788588614802,27.5977285842979,28.015068006488,27.7917591809543,28.013711493851,28.2321075627722,25.6112119585919,26.9805267393449,28.788885153022,27.4760676415004,26.953028319623,27.0144476212927,26.9415113775725,27.0055953720756,27.5699456230525,28.3785907835386,28.3890710606159,28.6905311706715,28.4640706893949
"XP_020613337.1",18.4422105291711,0,18.080677022851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8766488358608
"XP_020615292.1",0,0,19.1043658405759,0,0,0,0,0,0,18.1887771672396,18.725076629952,0,18.8994778899079,0,0,0,0,19.0468442392669,0
"XP_020619527.1",18.4211978174726,0,19.3021591771999,0,0,0,0,0,0,17.1644846912305,0,0,0,0,0,18.2975566691743,0,18.408109942599,18.1299923152127
"XP_020621797.1",22.5683871214445,21.4835279706614,22.915547356433,22.0538108999947,22.242917932507,22.6377567243417,18.7318195116479,20.593957300124,23.1102969124526,22.096974712799,22.8181423224189,20.6059578075203,22.3857921127819,20.1851597540825,21.3798727660399,22.1880457746774,22.0712014470371,22.7582010482567,21.1909682188634
"XP_020626064.1",22.5015944967335,21.6703632065024,22.7061998358,22.0119093506623,21.8528605472329,22.746482132995,16.6908573721377,21.2874204296867,22.6111389716754,21.8130965470126,21.4736339166525,21.4674826656748,20.3997462586749,21.3423986310372,21.6496522066971,22.4272997988734,21.345076542365,22.234858644708,22.4002511903768
"XP_020628111.1",25.0093755876484,23.945348901622,24.8890746714665,24.5347925947872,24.4208803495434,24.3484955051984,20.9776258128505,24.2613301838002,25.3658588832152,25.1014767793015,23.8882944509644,23.7928293080476,23.4831585347133,23.6435590832322,24.3484995574619,25.5172729955578,23.8953682802263,25.1950650519769,24.1834301068333
"tr|A0A060BJY5|A0A060BJY5_9DINO",0,0,0,0,0,0,0,0,17.2682038747169,0,0,0,0,0,0,0,21.2463932644042,0,0
"tr|A0A1Q9D2F2|A0A1Q9D2F2_SYMMI",21.5529059240628,20.7141457184148,22.0090511998289,0,19.1892092480971,20.4365458416076,0,19.275990328027,19.7998618186987,19.6273326015927,19.7716103639096,19.8747337593072,18.6520081520476,19.2197995426095,20.709273165967,21.7376867779119,20.8552129552238,21.3924164813848,21.7443957532299
"XP_020600564.1",21.7874219613806,20.7712065369886,21.8414956295121,23.0104569088144,22.8448756399763,21.9747489154264,20.4850283620531,21.0235465925499,22.7773638873308,21.658944943614,21.4454640212697,22.132967502979,20.8505661021409,22.0029918015991,23.5093133960513,22.734194219706,23.5368129107789,22.296068444841,22.4332652746585
"XP_020602495.1",0,0,0,0,0,23.0559134143442,0,0,0,0,24.0737165628369,0,23.5827685131282,0,19.3781657114475,24.2107799038583,24.0018721058347,24.0798520131885,0
"XP_020606526.1",22.8484676418101,20.4875623514113,22.2368711239799,19.5117738833381,20.7963795071021,20.9489168474897,0,19.8418729635008,22.8544972868678,21.3750219263078,20.0048006388703,19.6033438165877,19.1306434558335,18.3307112192078,18.9250617903826,23.4365411397044,20.6447259121262,22.6703603968087,21.6447897122015
"XP_020608627.1",24.9770858484994,23.227454806036,24.9388735696386,20.0886782667024,21.1487564694438,22.7895497634442,17.28356770028,22.3941525711945,23.2582642428313,23.2946416407984,21.2484968627961,22.8776988364548,22.0600503795469,23.3677638632078,22.6461923807286,25.7038712914863,23.2498797700359,25.8894251665514,25.4621668940203
"XP_020612576.1",22.5726292256043,0,0,0,0,20.701256536752,0,19.7964912044358,20.3311236014046,0,0,0,0,0,0,21.2540742036902,0,21.9115576645943,21.8515191649398
"XP_020614665.1",19.1363378235689,16.7395301201397,20.460240898315,18.1627109349648,0,19.7995140445898,0,19.0056108440522,20.0786160156354,19.595944000003,18.429762238605,18.4230871781112,16.244196571517,18.5037830439739,0,19.8631018657315,18.6217478408366,19.915641628661,19.4812889911588
"XP_020618821.1",22.8032941564005,20.9932763452601,23.1300471644034,0,21.5137878239136,21.310313779287,20.3780376141245,20.9162680087022,21.9490989373187,20.7060634239454,18.0498006998386,22.3459831407228,21.4220673333751,22.0769724570838,22.9761831855828,23.8089693777206,22.3036015616056,23.0210329913488,22.8545847912858
"XP_020621074.1",24.4568401092956,23.4379205543967,24.852957339541,23.748397716775,23.8147974784261,24.3583554180478,20.5473812707469,22.9301433845964,23.1744912829568,23.6337408113164,24.0522979732502,23.3599121247661,23.8114116399252,22.8729755982451,24.4478006717637,25.0769146964203,22.6879922045029,25.0548146496191,25.5073928025303
"XP_020625334.1",21.6944280320188,21.0838175491839,22.5639533591808,0,18.105801112489,20.9999167579955,16.2150020533773,20.2654971579692,19.3548154067739,20.9475306437073,20.802837390389,21.0175648872929,20.6205464987389,19.8853195301364,20.4614404776867,22.8022096680057,19.6147547694959,22.6612520627993,23.0510743206849
"XP_020627414.1",18.6246776724535,18.5042875289381,19.4861888529939,18.3945673625724,18.333421811886,17.2512882284344,0,16.585725443301,19.2837191589865,0,0,18.0810932934555,17.5524064325092,0,17.6309851649574,19.4917572109046,18.0012487413886,18.7546689784717,18.8246387164298
"XP_020631580.1",22.6818322593809,21.6205192042188,22.7163198202996,22.0585437375914,21.8684273356491,22.3581610134399,14.9252762584849,21.4694266933551,23.3142857553287,22.1088488842621,21.180650384349,20.7110644814649,21.051814991336,20.8411274130232,22.0062729961943,23.137020672021,22.285290170019,22.4105276941118,22.4016214614878
"XP_020613340.1",22.7505011177866,22.398300347842,23.1215355724849,0,0,22.0462690748386,18.0134044639589,0,0,0,21.151899143386,0,0,22.1967056729237,21.7220908241973,23.6682817779854,21.630543097256,0,0
"XP_020615294.1",23.0355530679181,21.5338358713109,23.1665451406817,17.6560686707322,19.7273704205966,22.4147241988641,0,21.2534164481372,18.5639149674687,22.0353686481172,20.6385375549619,20.5680386754797,20.4653920277026,21.110156381595,21.3967234024868,23.6498206944527,20.398128871006,23.189213019183,23.4004908212031
"XP_020619528.1",21.9434223327905,21.2949252640681,21.7170358419918,21.9312082112361,21.5204407610848,22.3435644586427,19.655155088885,20.4003301595812,22.4357366345306,21.6731309052784,21.5675787464428,21.7678567063876,20.9687968487835,21.0680821959016,22.2115749446719,23.107340810477,21.8327930730376,22.3363085073296,22.4024960870257
"XP_020621799.1",26.9021112815566,25.7255421753648,26.9765428742262,24.3721505476888,23.6644141888994,25.6863289217051,22.4369770807505,24.9310371088291,24.8627079134247,25.4797644473194,25.1375784046163,25.28306001398,24.846837669615,25.1672311505863,25.0163646715848,26.8433981951697,24.8710419546971,26.6223489748721,26.3471792175029
"XP_020626065.1",25.7477074665029,25.0098530864051,25.9914948800253,24.252962840431,24.6173641607803,25.3447943830905,22.2298664593407,23.6537209921324,24.4276909136255,24.2372911559395,24.9518129934098,24.433214772541,24.8408953096381,24.4875080719922,25.2598809060905,26.5209890309627,24.7352213756564,25.8933030354819,25.5754363294667
"XP_020628113.1",19.7818895479266,18.6680401001199,20.5862433174059,0,0,21.165260944579,0,18.8503852580673,19.9494776533085,19.5993081308518,17.062562679191,16.6002468682904,0,0,18.0949178718822,20.2724281766364,0,20.0364432875923,18.8797537411667
"tr|A0A060BQ26|A0A060BQ26_9DINO",24.410236988332,24.456051110123,24.7013424768453,25.4671550367816,25.3341202549949,25.0092816068478,24.2203553726581,24.4832076875755,26.0330514291546,24.761671795963,25.5356695830193,24.2309891565998,25.2478591894548,24.1316021119283,24.3495021428332,25.4691752918786,24.7874138404492,24.9407274192469,23.9153384585913
"tr|A0A1Q9D2Y4|A0A1Q9D2Y4_SYMMI",0,0,0,0,0,0,0,0,18.3439100394346,0,0,0,0,0,0,20.4092469329358,21.1035445863013,0,0
"XP_020600567.1",18.151705326353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6838787203115,0,18.2631178723325,0
"XP_020602496.1",0,0,0,0,0,0,0,17.3660745713297,0,0,0,20.1199707600041,0,20.5419861114489,0,0,0,0,0
"XP_020606533.1",23.5481550513312,22.9104599301885,23.3900211840095,22.9493178779238,23.1271808999459,23.3034077196566,20.2465330198931,22.4024154146075,24.0422359059605,23.091741892108,22.8181585145835,22.3732674278362,22.6703329479748,21.8208127421035,23.1255107456413,23.6909780777848,23.0840515315262,23.8315466449317,23.1387103683124
"XP_020608638.1",21.3393460439253,20.35593281508,21.5695038084204,16.3239695285972,0,18.7086359980397,0,0,20.2191720663015,19.848214887651,20.8309924921684,18.9484670476977,19.717196118541,19.106391692031,20.0998524537437,22.3275940328189,19.9617647860233,22.766273920503,22.1858151990717
"XP_020612577.1",19.7036754989988,0,21.2274684674236,0,20.5087203733169,21.0348318674508,0,19.8813365558026,20.5638377155944,0,19.6585584305023,20.2021585072628,0,20.4411134206974,20.6112634947574,21.3458129093511,20.4220370400969,20.8542238964828,20.9695137015815
"XP_020614667.1",0,0,0,0,0,22.7643595656524,0,0,0,0,0,0,0,18.2510524006375,21.3874972721698,23.0138199904808,0,23.0450325444499,0
"XP_020618825.1",25.4744348685399,24.4740309967311,25.6094142184444,24.4723770661664,24.5131729589389,24.9549180131497,21.1104367923874,24.109921575295,25.106422804203,24.6155883868493,23.2820023081406,24.2665122715377,22.9993623194045,24.0461122552944,24.4566571550655,26.4405295928196,25.3319603434916,26.0108176172565,25.7916143985256
"XP_020621082.1",0,0,18.7114619696272,20.4462725886603,20.0034698734465,19.072951656395,0,17.9372761075843,0,18.154625301807,20.0697290254981,20.0183536939355,19.2896069264975,18.9270921625476,0,0,20.2994998286906,17.5190756623243,0
"XP_020625335.1",21.9317492555628,20.9624985555572,22.0410631945063,20.6253084153712,20.0442033206549,21.7272112704498,17.482358934981,19.8055250459694,21.0999545166213,18.8403906979879,20.9227419043515,20.472945625077,20.7095340121942,20.5178202632284,21.3045657855646,22.4931393504701,21.8350314847537,22.2163465210729,21.8106473327001
"XP_020627433.1",21.9623287412296,20.6922161923004,21.9546716586888,21.162786523772,20.9621596131247,20.9211443164838,20.3691872959306,19.8865822373719,22.2615391593369,20.7570269588856,21.7718589715719,20.4920008256847,21.7272652920501,19.8977346905998,21.1819547686444,21.1477135981559,22.287461858602,21.4148405657031,20.0092244891612
