"","Ofav2","Ofav59","Ofav24","Ofav4","Ofav5","Ofav8","Ofav21","Ofav7","Ofav10","Ofav23","Ofav55","Ofav1","Ofav26","Ofav43","Ofav60"
"XP_020613416.1",21.3877349556442,25.6925479557198,20.6158936098031,21.8486951399987,20.3774763926202,23.7898884087469,23.7663609774137,24.0170154063327,21.3814790537025,25.0654744397099,0,22.6168776976325,20.6565580067389,21.4662119433,22.1117877266247
"XP_020613417.1",21.0861977893891,22.188905417032,22.7162833922756,21.8335892649311,22.1473772976781,23.4600187417312,21.9368582396791,23.2650482636467,22.9552055731109,23.3604641442662,0,23.2147520145596,20.8323594425319,21.6437337008846,21.3015576909774
"XP_020613423.1",22.218219399664,23.2371978503898,22.8615131055493,22.9050180261787,22.9639887806504,24.7638510556674,23.1230650528747,24.3843406403363,23.3112645196325,23.8191728936889,19.168865505115,23.5568634795191,22.4557876286005,22.3380750803003,22.618330436311
"XP_020613415.1",25.0156754082998,25.3834720415909,25.4366020408716,25.3698614541758,24.4231010952625,24.3778910425432,25.6666303808909,24.1922718165592,24.7759542725459,23.4234217938934,24.4505443176304,24.3273706018665,23.2713320132292,24.8325067644079,24.4449396916084
"XP_020632198.1",0,18.4862890378987,18.3192443218705,0,0,21.4606903575973,18.4883697389436,21.109168136448,0,19.8507499751919,0,19.1540234769741,0,0,0
"XP_020631927.1",0,18.8409223382821,0,18.434697448496,17.4070768574573,20.6922587678619,17.5509797017174,21.3695265277267,0,20.7380006958904,0,21.1228038456282,0,16.5698410239023,17.46707211076
"XP_020632215.1",0,18.787306370813,19.1690857878157,0,15.6969675262343,19.0772877561118,18.8290754331637,17.5123006626224,18.7275050404345,0,0,8.25908067787848,0,9.15322000625959,8.38914767265184
"XP_020631850.1",20.1878558477914,0,0,21.0900807517883,19.3321305436249,22.8083096503132,19.10282920852,22.1192669665441,21.6246656258812,19.8580857465503,20.26865278773,20.8690055265849,22.3020433477656,20.3775388901164,21.4657856824128
"XP_020632149.1",16.8734080639147,20.022924484897,18.2774917359715,0,21.8754902708471,0,20.2943032668508,0,20.7777457314448,20.8523885381324,0,23.5985685407267,0,0,23.0965098536255
"XP_020613458.1",22.1718221362539,23.2168066815404,22.6432024525734,22.8340282953178,21.7970919243738,23.584400466611,21.5079460677003,23.5381554150549,22.3328716347661,23.7088105738461,20.8148538906836,22.2995579458374,23.1467596603793,22.5375603941647,21.1380106778499
"XP_020613409.1",26.7011343211229,27.6014827177049,26.6842779757242,27.2580984663248,26.8937612816972,28.1038895646386,27.1701519720228,27.6730208657791,27.5204513496459,27.651643634973,24.4541693076161,27.8857896572578,26.376736682478,26.4870689219219,27.0375611348354
"XP_020632200.1",0,0,18.1821954957865,17.2528594293697,18.7548320589873,20.8510390891487,18.4456090007947,20.6224781756474,18.1894529908145,21.2414030763507,0,19.6196185146037,0,8.11001908596977,0
"XP_020631948.1",17.9626305803286,18.6685837913462,17.8692504297712,17.6423126386862,18.3532028350053,21.3415845152783,18.5089746766225,21.4050235319942,19.2969946004022,20.8885849639288,0,20.5880964340863,9.03812335703667,17.2949226859983,18.7233766778294
"XP_020613427.1",18.4371384128806,20.665348930198,19.5816695199057,19.0965633217856,19.3286946471572,22.1185257602215,18.6261760168484,21.4760346667421,20.1110554152374,20.5897855371635,0,20.6718420815341,17.8758814528503,18.6783372388074,18.5170189810736
"XP_020631941.1",20.2038318888786,23.153458175352,21.8050081538002,20.5632325879481,21.2204474120342,21.6331655304879,23.1165344967555,22.8216476830256,22.0743541516429,20.2946622519805,20.3419107594872,23.049108091503,21.5686503636464,21.570480961826,22.068090748719
"XP_020631875.1",21.623868097538,23.251478509896,20.8883917286891,22.5382976496744,21.84417666635,22.0474411419855,21.128575257603,21.7608218543421,22.5607202247129,20.6040400767983,0,23.3472893389265,19.8756153572898,20.1359019562551,20.58455541689
"XP_020631932.1",0,0,0,0,0,0,0,0,0,19.5773827251435,0,9.44852831048544,9.68468684845025,0,0
"XP_020632237.1",0,0,0,0,0,19.3688282730611,19.3882296533996,18.5040935171359,0,19.2765606382184,0,18.3410597237265,8.74267488844259,17.1533271430049,0
"XP_020631965.1",0,18.8597561867818,22.2517444573413,0,19.0869577308411,20.0311883014573,17.2053446279292,17.8935089223283,16.8764090281723,0,0,18.43035899814,0,16.7179702015016,0
"XP_020632199.1",25.2884149235217,25.7704313875034,25.6929525458229,26.1667093386118,26.0049595498392,26.7679383780902,25.6431973045111,26.5389799824509,26.1772357549499,27.0016036312996,23.614655482534,27.035502092123,24.8821546065233,25.5549579022632,25.4938475976761
"XP_020631942.1",23.2772915155127,22.7004560167126,23.3014260003685,23.2640890478282,23.1512483909919,24.597052358726,22.6717408100474,24.7611016044925,24.1002267292204,25.0476193243409,0,24.3893625066434,22.1224574656862,22.2097048124464,22.8314392278697
"XP_020631876.1",20.3985359973641,23.458964375564,23.7312984156209,22.9663126946947,23.1678317158901,23.9514520099896,22.2244212738489,24.6924511405154,24.3783270740661,25.373549980925,21.1066785855238,23.9118024948128,23.9768953763749,22.3255982809264,22.3220757972441
"XP_020631940.1",24.6636793242027,26.3361485233235,24.2740416062278,24.6186007507141,24.1080246733815,25.1666963344648,25.6765312952749,25.9012993046992,25.1830816939913,24.4583873999451,23.1964503951128,25.8884540996665,25.678391748188,24.1221165323067,25.123895846225
"XP_020632239.1",18.8402462300708,20.0086761810426,18.7485564918683,19.1913556639192,19.3489507058273,21.0874479494992,17.2403348287921,21.4853227493435,19.7972356324072,20.6426237724402,0,21.0445619678851,20.1695417020228,18.792294952751,18.7064146837408
"XP_020631928.1",19.2442825288465,22.9932378134578,19.3957579493712,21.0184345205547,18.9235277039649,18.7042515286826,22.3198162540484,19.3316495731279,21.9363111995502,22.4129393338012,0,20.1803951340023,19.5889473714152,20.520671045678,19.5342031768369
"XP_020632217.1",19.5625424326843,21.1665241477409,20.2393479619135,20.9255044581083,19.6270119159895,21.1685943888453,19.8575087602367,21.5770401345073,21.393275752092,19.9120779779969,0,20.8385053134105,0,18.8786043724445,19.1471618803402
"XP_020631851.1",15.3842103887997,0,18.1463946524863,19.5926449976053,0,21.2033354556311,20.1276480394612,21.6180605803795,21.2478655259439,18.9823725306496,0,21.3304339495189,0,0,19.0892091456045
